negative	THERE HAS TO BE SOME TIME SOME PERIOD WHEN THAT IS BEING IMPLEMENTED	BUT WE DO NOT SEE HOW  PUTTING THOSE COMPANIES ABOVE THE PEOPLE IS WHAT WE SHOULD BE DOING
negative	AND FOR EXAMPLE  HERE RIGHT NOW TODAY  THERE IS NO AIR CONDITIONING	IF SOMEBODY DECIDED TO SMOKE I WOULD PROBABLY HAD AN ALLERGIC REACTION TO IT
negative	BUT ISN'T THIS WHAT THE BAN PROPOSES	BAN IN PUBLIC PLACES  IN CLOSED PLACES AND CLOSED PLACES
negative	BUT SHOULDN'T THERE BE A BAN FOR EXAMPLE IN SELLING  CIGARETTES SELLING  TOBACCO IN PLACES PUBLIC PLACES NEAR SCHOOLS	PUBLIC PLACES WHERE CHILDREN FOR EXAMPLE MIGHT GATHER
negative	WELL WE'RE SUPPOSING THAT THAT PERSON THAT SELLS TOBACCO ONLY MAKES LIVING ON SELLING TOBACCO	IN AN AREA NEXT TO SCHOOL PROBABLY  PRODUCTS THAT WILL BE SOLD WILL BE  PRODUCTS THAT INTEREST CHILDREN
negative	IF PEOPLE IF CHILDREN HAVE FREE ACCESS EASY ACCESS TO TOBACCO IT'S MUCH MUCH EASIER FOR THEM TO ACTUALLY START SMOKING AT CHILD OF TWELVE THIRTEEN YEARS OF AGE	I DON'T THINK THAT THEY DO HAVE THE LIBERTY TO WONDER  FIVE KILOMETERS OR EVEN TWO KILOMETERS AWAY FROM THEIR SCHOOLS TO BUY TOBACCO
negative	IT COULD BE SYMBOLIC THOUGH	IT COULD BE THE BEGINNING OF IMPLEMENTING MORE STRICT REGULATIONS IN SELLING TOBACCO
negative	AND I THINK THAT A BAN IN SMOKING IN PUBLIC PLACES WILL COME WITH MORE MEASURES TAKEN	MORE MEASURES TAKEN CONCERNING THE RESTRICTION OF SELLING TOBACCO
negative	I  THINK ITS THE FIRST STEP TO ACTUALLY BANNING IT IN PUBLIC PLACES BANNING  IT WHERE IT CAN HARM WHERE IT CAN CREATE A ROLE MODEL OF SMOKERS THAT CAN BE IMMITATED BY CHILDREN BY TEENAGERS	PEOPLE WHO DON'T SMOKE AND MY POTENTIALLY BECOME SMOKERS
negative	JUST BECAUSE I HAVE NOT ACTUALLY CHOSEN TO SMOKE THAT  DOES NOT MEAN THAT I HAVE THE RIGHT TO LIMIT SOMEONE ELSE FROM THE RIGHT TO SMOKE	AND THAT'S WHY A BAN ON SMOKING WOULD BE ACTUALLY LEAD TO A STATE  THAT DOES NOT ACTUALLY VALUE THE OPINION OF ITS CITIZENS THAT DOES NOT VALUE THEIR CHOICES
negative	AND THAT'S WHY A BAN ON SMOKING WOULD BE ACTUALLY LEAD TO A STATE  THAT DOES NOT ACTUALLY VALUE THE OPINION OF ITS CITIZENS THAT DOES NOT VALUE THEIR CHOICES	AND IF THEIR CHOICES ARE TO SMOKE EVEN THOUGH THEY KNOW THE BAD CONSEQUENCES OF IT  THEN WE DONT ACTUALLY AS A SOCIETY HAVE A RIGHT TO STOP THAT FROM HAPPENING IN PUBLIC PLACES
negative	AND THE SAME WAY THIS IS WHAT THE NON SMOKER SHOULD DO FOR THE SMOKER	THEY SHOULD RESPECT THEIR CHOICE
negative	BECAUSE OF WHAT WE SEE IN OUR SOCIETY IS THE FACT THAT WE HAVE SMOKERS AND NONSMOKERS	AND THE CHOICE OF ONE DOES NOT LIMIT THE CHOICE OF THE OTHER
negative	AND AIR DOES TRAVEL AND WE CANNOT CHANGE THAT	IT'S SOMETHING THAT IS JUST GONNA BE THAT WAY ANYWAY
negative	BUT WE A BAN IS A COMPLETELY DIFFERENT THING	A BAN MEANS THAT AS A STATE I WONT ALLOW YOU TO WHAT YOU CHOSE TO DO
negative	BUT  IF YOU ACTUALLY LOOK AT THE  RESTRICTED AREAS IN ALMOST  EVERY SINGLE EUROPEAN COUNTRIES THAT DIFFERENCE BETWEEN THE TWO AREAS IS THAT ONE IS OUTSIDE AND THE OTHER ONE IS INSIDE	THEREFORE A NON SMOKER CAN STAY INSIDE THE RESTAURANT
negative	AND THAT IS HOW THEY THE SMOKER AND THE NON SMOKER WILL NOT INTERMINGLE	AND THE HEALTH OF ONE WILL NOT AFFECT THE HEALTH OF THE OTHER
negative	AND THAT IS NOT SOMETHING WE'RE  IN FAVOR OF	WE'RE IN FAVOR OF LIMITATIONS
negative	BECAUSE IN THAT CASE WE ARE  HARMING A WHOLE  INDUSTRY	WE ARE NOT ONLY HARMING THE TOBACCO INDUSTRY
negative	WE ARE NOT ONLY HARMING THE TOBACCO INDUSTRY	WE ARE ALSO HARMING THE PERSON THAT IT'S ACTUALLY SELLING THAT PRODUCT
negative	AND WHAT  WE SEE IN THAT SENSE IS THAT WE HAVE TWO CONTRADICTORY FORCE	WE HAVE THE  HEALTH OF THE STUDENTS WHICH IF THEY WANT TO SMOKE THEY WILL GO TO A PLACE THAT SELLS TOBACCO FURTHER FURTHER AWAY FROM THEIR SCHOOL WHERE IT WILL BE ALLOWED
negative	BUT REGULATIONS DO EXIST	WE HAVE REGULATIONS AND WHERE YOU CAN BUY TOBACCO  AND WHAT AGE YOU SHOULD BE WHEN YOU ARE ALLOWED TO BUY TOBACCO
negative	WE'RE HERE TO PROPOSE A BAN ON SMOKING IN PUBLIC PLACES SPECIFICALLY PUBLIC PLACES INDOORS OR OUTDOORS	AND WE BELIEVE THAT SUCH A BAN  WOULD  BE BENEFICIAL TO ALL THOSE PEOPLE WHO DO NOT HAVE A CHOICE ALL THOSE PASSIVE SMOKERS WHO GET EXPOSE TO SMOKE WHICH WE ALL KNOW THAT IT IS CARCINOGENIC
negative	OFFICIALLY WE BELIEVE THAT THE CURRENT POLICIES ARE INCOMPLETE	IT IS NOT LIMITED TO OUR CHOICE
negative	EXACTLY WE BELIEVE THAT   EXACTLY BECAUSE WE CAN'T SEPERATE SMOKERS FROM NON SMOKERS	THAT'S EXACTLY WE SHOULD BAN IT FOR ALL
negative	EXACTLY BECAUSE IT CANNOT BE SEPERATED	THE NON SMOKERS ARE EXPOSED TO THE SMOKE OF THE  SMOKERS
negative	WHEN WE DO NOT SEE HOW THIS WOULD BE BENEFICIAL FOR THEM	AND HOW THIS IS NOT VIOLATING THE RIGHT
negative	BECAUSE IF A STATE CANNOT IMPLEMENT  IT'S OWN LAWS THEN EVERY INSTANCE SHOULD BE QUESTIONED	AND   EXACTLY STARTING TO LOSE ITS POWER
negative	SO WHEN YOU HAVE SPECIFIC LAWS YOU HAVE TO IMPLEMENT THEM	AND SO WHAT THAT MEANS IT'S NOT THAT WE SHOULD ONLY ON IMPLEMENTING THE SPECIFIC LAWS
negative	BECAUSE THE ARE ALL THOSE PASSIVE SMOKERS THERE	AND  WHO HAVE EXACTLY  THEIR RIGHTS VIOLATED
negative	BECAUSE IT'S NOT ONLY A MATTER OF THE OF THE SMOKER OR THE OWNER OF THE BUSINESS	IT'S A MATTER OF EVERYONE
negative	BUT BESIDES THAT OK WE GET THAT MANY NON SMOKERS ACTUALLY MAKE THE CHOICE THEY ARE ACTUALLY CHOOSING TO BE WITH THE SMOKERS AND THAT'S FINE	BUT THAT'S FINE  WHEN IT'S IN PRIVATE PLACES  WHEN YOU YOU KNOW YOU ARE EXACTLY YOU TAKE THAT RISK YOURSELF
negative	BECAUSE YOU HAVE THIS  POSSIBILITY OF ALL THE PEOPLE OVER THERE	AND MANY PEOPLE MAY NOT ACTUALLY WANT TO REACT MAY NOT  THEY DON'T WANT TO SEEM BAD
negative	BUT THAT DOES NOT MEAN THAT THEY WANT THAT HAPPEN OR THAT THEY LIKE THEY LIKE BEING EXPOSED	SO THAT SO WE BELIEVE THAT THE STATE  SHOULD BE THERE TO ACTUALLY TO HAVE THAT  SPECIFIC LINE THIS LINE WHICH SHOULD NOT BE CROSSED
negative	SO THAT SO WE BELIEVE THAT THE STATE  SHOULD BE THERE TO ACTUALLY TO HAVE THAT  SPECIFIC LINE THIS LINE WHICH SHOULD NOT BE CROSSED	THAT IS THE LINE BETWEEN PRIVATE AND PUBLIC PLACES
negative	BECAUSE FROM OURSIDE WANT IT SOUNDS LIKE IS LIKE A MODERATION IN SMOKING IN PUBLIC PLACES	IT'S LIKE WE'RE TAKING ABOUT IMPLEMENTING POLICIES THAT ALREADY EXISTS
negative	IN WHAT FORM FOR EXAMPLE I UNDERSTAND THE INDOORS THE POLICY IS SEPARATING THE SMOKERS FROM THE NON SMOKER THAT'S THE POLICE THAT ALREADY EXISTS	 THAT'S WHAT RESTAURANTERS  THAT'S WHAT OWNERS OF CAFES BARS DO
negative	AND  GOING TO THE POLICE FORCE IS	I THINK  ITS A BIT OF A WASTE OF MANPOWER
negative	BUT WE HAVEN'T BANNED DRIVING	WHAT WE DID WAS BANNING IT IN SPECIFIC AREAS IN THE CENTER OF A TOWN FOR EXAMPLE
negative	FOR EXAMPLE IN BRITAIN	THERE USED TO BE EVEN A FEW DECADES AGO OVER FIFTY OVER FIFTY PERCENT
